year,540102,540103,540104,540121,540122,540123,540124,540127
2016,225913 ,53948 ,31439 ,65730 ,55720 ,34651 ,36800 ,56550 
2017,244273 ,56535 ,32531 ,67719 ,59174 ,35693 ,37581 ,59716 
2018,264127 ,59246 ,33659 ,69767 ,62842 ,36766 ,38379 ,63059 
2019,285593 ,62087 ,34828 ,71878 ,66737 ,37872 ,39194 ,66589 
2020,308804 ,65065 ,36036 ,74052 ,70874 ,39011 ,40026 ,70317 
2021,333902 ,68185 ,37287 ,76293 ,75267 ,40184 ,40876 ,74254 
2022,361040 ,71455 ,38581 ,78601 ,79933 ,41392 ,41743 ,78411 
2023,390383 ,74882 ,39920 ,80979 ,84887 ,42637 ,42630 ,82801 
2024,422110 ,78473 ,41305 ,83428 ,90149 ,43919 ,43535 ,87436 
2025,456417 ,82236 ,42739 ,85952 ,95737 ,45240 ,44459 ,92331 
2026,493512 ,86180 ,44222 ,88553 ,101671 ,46601 ,45403 ,97500 
2027,533621 ,90312 ,45756 ,91232 ,107974 ,48002 ,46367 ,102958 
2028,576991 ,94644 ,47344 ,93992 ,114666 ,49446 ,47351 ,108722 
2029,623885 ,99182 ,48987 ,96835 ,121774 ,50933 ,48356 ,114809 
2030,674591 ,103939 ,50687 ,99765 ,129322 ,52464 ,49383 ,121236 
2031,729417 ,108923 ,52446 ,102783 ,137338 ,54042 ,50431 ,128024 
2032,788700 ,114147 ,54266 ,105892 ,145851 ,55667 ,51502 ,135191 
2033,852800 ,119621 ,56150 ,109096 ,154892 ,57341 ,52595 ,142759 
2034,922111 ,125357 ,58098 ,112396 ,164493 ,59066 ,53712 ,150752 
2035,997054 ,131369 ,60115 ,115796 ,174689 ,60842 ,54852 ,159191 
2036,1078088 ,137669 ,62201 ,119300 ,185517 ,62672 ,56016 ,168103 
2037,1165709 ,144271 ,64359 ,122909 ,197017 ,64557 ,57206 ,177514 
2038,1260450 ,151190 ,66593 ,126627 ,209229 ,66498 ,58420 ,187452 
2039,1362892 ,158440 ,68904 ,130458 ,222198 ,68498 ,59660 ,197947 
2040,1473659 ,166038 ,71295 ,134405 ,235971 ,70558 ,60927 ,209028 
2041,1593429 ,174001 ,73769 ,138471 ,250598 ,72680 ,62220 ,220730 
2042,1722933 ,182345 ,76329 ,142660 ,266132 ,74865 ,63541 ,233088 
2043,1862963 ,191090 ,78978 ,146976 ,282628 ,77117 ,64890 ,246137 
2044,2014373 ,200254 ,81719 ,151422 ,300147 ,79436 ,66268 ,259916 
2045,2178088 ,209857 ,84555 ,156003 ,318751 ,81825 ,67675 ,274468 
2046,2355110 ,219921 ,87490 ,160722 ,338509 ,84285 ,69111 ,289833 
2047,2546519 ,230468 ,90526 ,165585 ,359492 ,86820 ,70579 ,306059 
2048,2753484 ,241520 ,93667 ,170594 ,381775 ,89431 ,72077 ,323193 
2049,2977270 ,253103 ,96918 ,175755 ,405440 ,92121 ,73607 ,341287 
2050,3219244 ,265241 ,100281 ,181072 ,430571 ,94891 ,75170 ,360393 
